"class","word","n"
"Feminine pronouns only",18,0.0143333333333333
"Feminine pronouns only",19,0.00566666666666667
"Feminine pronouns only",20,0.00866666666666667
"Feminine pronouns only",21,0.00733333333333333
"Feminine pronouns only",22,0.005
"Feminine pronouns only",23,0.00466666666666667
"Feminine pronouns only",24,0.00633333333333333
"Feminine pronouns only",25,0.00433333333333333
"Feminine pronouns only",26,0.005
"Feminine pronouns only",27,0.00266666666666667
"Feminine pronouns only",28,0.00233333333333333
"Feminine pronouns only",29,0.00266666666666667
"Feminine pronouns only",30,0.00433333333333333
"Feminine pronouns only",31,0.001
"Feminine pronouns only",32,0.00133333333333333
"Feminine pronouns only",34,0.000333333333333333
"Feminine pronouns only",35,0.000333333333333333
"Feminine pronouns only",36,0.000333333333333333
"Feminine pronouns only",37,0.000666666666666667
"Feminine pronouns only",40,0.000333333333333333
"Feminine pronouns only",43,0.000333333333333333
"Feminine pronouns only",44,0.000333333333333333
"Feminine pronouns only",45,0.000333333333333333
"Feminine pronouns only",46,0.000333333333333333
"Feminine pronouns only",48,0.000666666666666667
"Feminine pronouns only",53,0.000333333333333333
"Feminine pronouns only",55,0.000333333333333333
"Feminine pronouns only",57,0.000333333333333333
"Feminine pronouns only",59,0.000333333333333333
"Feminine pronouns only",65,0.000333333333333333
"Feminine pronouns only",72,0.000333333333333333
"Gender non-conforming pronouns",18,0.023
"Gender non-conforming pronouns",19,0.005
"Gender non-conforming pronouns",20,0.00833333333333333
"Gender non-conforming pronouns",21,0.00866666666666667
"Gender non-conforming pronouns",22,0.01
"Gender non-conforming pronouns",23,0.00666666666666667
"Gender non-conforming pronouns",24,0.00666666666666667
"Gender non-conforming pronouns",25,0.006
"Gender non-conforming pronouns",26,0.005
"Gender non-conforming pronouns",27,0.004
"Gender non-conforming pronouns",28,0.003
"Gender non-conforming pronouns",29,0.00333333333333333
"Gender non-conforming pronouns",30,0.00366666666666667
"Gender non-conforming pronouns",31,0.00133333333333333
"Gender non-conforming pronouns",32,0.001
"Gender non-conforming pronouns",33,0.001
"Gender non-conforming pronouns",34,0.000666666666666667
"Gender non-conforming pronouns",35,0.000666666666666667
"Gender non-conforming pronouns",36,0.000333333333333333
"Gender non-conforming pronouns",37,0.000333333333333333
"Gender non-conforming pronouns",39,0.000333333333333333
"Gender non-conforming pronouns",40,0.000333333333333333
"Gender non-conforming pronouns",46,0.000333333333333333
"Gender non-conforming pronouns",52,0.000333333333333333
"Gender non-conforming pronouns",70,0.000333333333333333
"Masculine pronouns only",18,0.011
"Masculine pronouns only",19,0.00333333333333333
"Masculine pronouns only",20,0.00533333333333333
"Masculine pronouns only",21,0.004
"Masculine pronouns only",22,0.003
"Masculine pronouns only",23,0.00366666666666667
"Masculine pronouns only",24,0.00566666666666667
"Masculine pronouns only",25,0.00366666666666667
"Masculine pronouns only",26,0.00133333333333333
"Masculine pronouns only",27,0.00133333333333333
"Masculine pronouns only",28,0.00166666666666667
"Masculine pronouns only",29,0.002
"Masculine pronouns only",30,0.00333333333333333
"Masculine pronouns only",31,0.001
"Masculine pronouns only",32,0.000666666666666667
"Masculine pronouns only",34,0.000333333333333333
"Masculine pronouns only",35,0.000333333333333333
"Masculine pronouns only",37,0.000333333333333333
"Masculine pronouns only",40,0.000333333333333333
"Masculine pronouns only",41,0.000333333333333333
"Masculine pronouns only",42,0.000333333333333333
"No pronouns provided",18,0.00966666666666667
"No pronouns provided",20,0.00566666666666667
"No pronouns provided",22,0.00333333333333333
"No pronouns provided",23,0.00266666666666667
"No pronouns provided",24,0.002
"No pronouns provided",25,0.002
"No pronouns provided",26,0.001
"No pronouns provided",27,0.001
"No pronouns provided",29,0.001
"No pronouns provided",30,0.00233333333333333
"No pronouns provided",34,0.000666666666666667
"No pronouns provided",37,0.000333333333333333
"No pronouns provided",38,0.000333333333333333
"No pronouns provided",47,0.000333333333333333
